LastName;FirstName;BookTitle;PagesNb;Isbn;PublisherName;
Shinn;Sharon;The Truth-Teller's Tale;256;0-670-06000-3;Viking Press;
Shinn;Sharon;Heart of Gold (novel);341;0-441-00821-6;Ace Books;
Shinn;Sharon;The Alleluia Files;448;978-0-441-00620-5;Ace Books;
Shriver;Lionel;The Post-Birthday World;600;0-00-724341-3;HarperCollins;
Shusterman;Neal;Everlost;377;ISBN 1-84738-504-4;Simon & Schuster;
Shusterman;Neal;Everfound (novel);512;ISBN 9781416990499;Simon & Schuster;
Shusterman;Neal;The Schwa Was Here;228;978-0-525-47182-0;Dutton Penguin;
Shusterman;Neal;Full Tilt (novel);201;978-0-689-80374-1;Simon & Schuster;
Shusterman;Neal;Everwild;432;ISBN 1-84738-732-2;Simon & Schuster;
Siddons;Anne Rivers;Peachtree Road (novel);832;9,78E+12;Harper (publisher);
Sides;Hampton;Ghost Soldiers;343;9,78E+12;Random House;
Silko;Leslie;Ceremony (Silko novel);262;0-14-008683-8;Penguin Books;
Silko;Leslie;Almanac of the Dead;763;ISBN 0-671-66608-8;Simon & Schuster;
Silverberg;Robert;Revolt on Alpha C;148;NA;Thomas Y. Crowell Co.;
Silverberg;Robert;The World Inside;201;0-385-03621-3;Doubleday (publisher);
Silverberg;Robert;A Time of Changes;183;978-0586039953;Doubleday (publisher);
Silverberg;Robert;Downward to the Earth;180;978-0-451-04497-6;Doubleday (publisher);
Silverberg;Robert;Gilgamesh the King;320;0-87795-599-9;Arbor House;
Silverberg;Robert;The Man in the Maze (novel);192;NA;Sidgwick & Jackson;
Silverberg;Robert;Tower of Glass;247;0-684-10544-6;Charles Scribner's Sons;
Silverberg;Robert;The Book of Skulls;222;0-684-12590-0;Charles Scribner's Sons;
Silverberg;Robert;The Ugly Little Boy;290;0-385-26343-0;Doubleday (publisher);
Silverberg;Robert;Hawksbill Station;166;NA;Doubleday (publisher);
Silverberg;Robert;Roma Eterna;416;0-380-97859-8;HarperCollins;
Silverberg;Robert;Alpha 9;180;0-425-03838-6;Berkley Books;
Silverberg;Robert;To Live Again (novel);231;NA;Doubleday (publisher);
Silverberg;Robert;The Dawning Light;191;NA;Gnome Press;
Silverberg;Robert;Dying Inside;245;0-684-13083-1;Charles Scribner's Sons;
Silverberg;Robert;The Face of the Waters;363;0-246-13718-5;Grafton (publisher);
Silverberg;Robert;The Shrouded Planet;186;NA;Gnome Press;
Silverberg;Robert;Starborne;291;0-553-10264-8;Bantam Spectra;
Silverberg;Robert;The Second Trip;192;NA;Doubleday (publisher);
Silverstein;Sheldon Allan;A Light in the Attic;169;0-06-025673-7;Harper (publisher);
Simak;Clifford D.;City (novel);224;NA;Gnome Press;
Simak;Clifford D.;Cosmic Engineers;224;NA;Gnome Press;
Simak;Clifford D.;The Werewolf Principle;216;NA;G. P. Putnam's Sons;
Simmons;Daniel;Song of Kali;311;978-0747200338;James Frenkel;
Simmons;Daniel;The Fall of Hyperion (novel);517;ISBN 0-385-24950-0 (First edition);Doubleday (publisher);
Simmons;Daniel;Carrion Comfort;636;978-0913165379;Dark Harvest;
Simmons;Daniel;The Hollow Man (Simmons novel);293;978-0553082524;Bantam Books;
Simmons;Daniel;The Terror (novel);784;978-0-316-01744-2;Little, Brown and Company;
Simmons;Daniel;Ilium (novel);731;0-380-97893-8;HarperCollins;
Simmons;Daniel;Drood (novel);777;978-0-316-00702-3;Little, Brown and Company;
Simmons;Daniel;A Winter Haunting;320;ISBN 0-380-97886-5;William Morrow and Company;
Simmons;Daniel;Prayers to Broken Stones;403;ISBN 0-553-29665-5 (Bantam);Bantam Books;
Simmons;Daniel;Olympos (novel);690;0-380-97894-6;HarperCollins;
Simmons;Daniel;The Crook Factory;448;978-0380973682;William Morrow and Company;
Simmons;Daniel;Fires of Eden;399;978-0399139222;G. P. Putnam's Sons;
Simmons;Daniel;The Rise of Endymion;579;ISBN 0-553-10652-X;Bantam Books;
Simmons;Daniel;Endymion (Simmons novel);441;ISBN 0-7472-0525-6 (first edition, hardback);Headline Publishing Group;
Simmons;Daniel;Hyperion (Simmons novel);482;ISBN 0-385-24949-7 (1st ed. hardcover);Doubleday (publisher);
Simmons;Daniel;Muse of Fire;100;978-1596061811 (first edition, hardback);Subterranean Press;
Simon;David;Homicide: A Year on the Killing Streets;599;ISBN 0-395-48829-X;Houghton Mifflin Harcourt;
Simon;Francesca;Horrid Henry (book);96;978-1-85881-070-6;Orion Publishing Group;
Sladek;John;Tik-Tok (novel);184;0-575-03336-3;Victor Gollancz Ltd;
Sladek;John;Keep the Giraffe Burning;205;0-586-04757-3;Panther Books;
